FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004016224,a0j8p000001zqKQ,Paid,2022-09-23T11:32:44Z
Success,N264220004016170,a0j8p000001yhna,Paid,2022-09-23T11:32:44Z
Success,N264220004016146,a0j8p000001ySu1,Paid,2022-09-23T11:32:44Z
Success,N264220004016054,a0j8p000001yTFn,Paid,2022-09-23T11:32:44Z
Success,N264220004015952,a0j8p000001x4S4,Paid,2022-09-23T11:32:44Z
Success,N264220004016141,a0j8p000002048G,Paid,2022-09-23T11:32:44Z
Success,N264220004015756,a0j8p000001zhev,Paid,2022-09-23T11:32:44Z
Success,N264220004016088,a0j8p000001zqCg,Paid,2022-09-23T11:32:44Z
Success,N264220004016299,a0j8p000001zi1A,Paid,2022-09-23T11:32:44Z
Success,N264220004016281,a0j8p00000203It,Paid,2022-09-23T11:32:44Z
Success,N264220004016113,a0j8p00000202UP,Paid,2022-09-23T11:32:44Z
Success,N264220004015818,a0j8p000001zl6V,Paid,2022-09-23T11:32:44Z
Success,N264220004015993,a0j8p000001zkyT,Paid,2022-09-23T11:32:44Z
Success,N264220004015868,a0j8p000001zjJm,Paid,2022-09-23T11:32:44Z
Success,N264220004016076,a0j8p000001zhFc,Paid,2022-09-23T11:32:44Z
Success,N264220004016282,a0j8p000001zdJL,Paid,2022-09-23T11:32:44Z
Success,N264220004016108,a0j8p000001zit8,Paid,2022-09-23T11:32:44Z
Success,N264220004015858,a0j8p000001zkzE,Paid,2022-09-23T11:32:44Z
Success,N264220004016244,a0j8p000001zhET,Paid,2022-09-23T11:32:44Z
Success,N264220004016084,a0j8p000001v1y4,Paid,2022-09-23T11:32:44Z
Success,N264220004015828,a0j8p000001xEOJ,Paid,2022-09-23T11:32:44Z
Success,N264220004015953,a0j8p000001xDvf,Paid,2022-09-23T11:32:44Z
Success,N264220004015826,a0j8p000001xEAA,Paid,2022-09-23T11:32:44Z
Success,N264220004016136,a0j8p000001zuPu,Paid,2022-09-23T11:32:44Z
Success,N264220004016161,a0j8p000001zhxF,Paid,2022-09-23T11:32:44Z
Success,N264220004016135,a0j8p00000200uA,Paid,2022-09-23T11:32:44Z
Success,N264220004016159,a0j8p000001yMga,Paid,2022-09-23T11:32:44Z
Success,N264220004015949,a0j8p000001y6M1,Paid,2022-09-23T11:32:44Z
Success,N264220004016142,a0j8p00000203r2,Paid,2022-09-23T11:32:44Z
Success,N264220004016263,a0j8p000001yaK2,Paid,2022-09-23T11:32:44Z
Success,N264220004015919,a0j8p000001ybrK,Paid,2022-09-23T11:32:44Z
Success,N264220004016275,a0j8p00000203My,Paid,2022-09-23T11:32:44Z
Success,N264220004016293,a0j8p000001v9MQ,Paid,2022-09-23T11:32:44Z
Success,N264220004016195,a0j8p000001v90A,Paid,2022-09-23T11:32:44Z
Success,N264220004016267,a0j8p000001zQsd,Paid,2022-09-23T11:32:44Z
Success,N264220004015992,a0j8p000001zRjB,Paid,2022-09-23T11:32:44Z
Success,N264220004015738,a0j8p000001zqR8,Paid,2022-09-23T11:32:44Z
Success,N264220004016181,a0j8p000001zXqn,Paid,2022-09-23T11:32:44Z
Success,N264220004016228,a0j8p000002010m,Paid,2022-09-23T11:32:44Z
Success,N264220004015947,a0j8p000001zasx,Paid,2022-09-23T11:32:44Z
Success,N264220004016105,a0j8p000001zhEF,Paid,2022-09-23T11:32:44Z
Success,N264220004016180,a0j8p000001zjHb,Paid,2022-09-23T11:32:44Z
Success,N264220004016274,a0j8p000001zjda,Paid,2022-09-23T11:32:44Z
Success,N264220004015893,a0j8p000001zdnN,Paid,2022-09-23T11:32:44Z
Success,N264220004015866,a0j8p000001vJ3b,Paid,2022-09-23T11:32:44Z
Success,N264220004015749,a0j8p000001zlNv,Paid,2022-09-23T11:32:44Z
Success,N264220004016081,a0j8p000001zxWl,Paid,2022-09-23T11:32:44Z
Success,N264220004016160,a0j8p000001znkM,Paid,2022-09-23T11:32:44Z
Success,N264220004016140,a0j8p00000204vj,Paid,2022-09-23T11:32:44Z
Success,N264220004015977,a0j8p00000204PZ,Paid,2022-09-23T11:32:44Z
Success,N264220004016032,a0j8p000001zgkY,Paid,2022-09-23T11:32:44Z
Success,N264220004015917,a0j8p000001zLc0,Paid,2022-09-23T11:32:44Z
Success,N264220004016262,a0j8p000001zM8N,Paid,2022-09-23T11:32:44Z
Success,N264220004015920,a0j8p000001zMLm,Paid,2022-09-23T11:32:44Z
Success,N264220004015918,a0j8p000001zLwv,Paid,2022-09-23T11:32:44Z
Success,N264220004015945,a0j8p000001xvKZ,Paid,2022-09-23T11:32:44Z
Success,N264220004015758,a0j8p000001zi1O,Paid,2022-09-23T11:32:44Z
Success,N264220004016211,a0j8p000001zh0C,Paid,2022-09-23T11:32:44Z
Success,N264220004015986,a0j8p000001zgZp,Paid,2022-09-23T11:32:44Z
Success,N264220004015787,a0j8p000001zx5J,Paid,2022-09-23T11:32:44Z
Success,N264220004015789,a0j8p000001zzGo,Paid,2022-09-23T11:32:44Z
Success,N264220004015788,a0j8p000001zxHv,Paid,2022-09-23T11:32:44Z
Success,N264220004016291,a0j8p000001zvx4,Paid,2022-09-23T11:32:44Z
Success,N264220004016152,a0j8p000001zwpR,Paid,2022-09-23T11:32:44Z
Success,N264220004016266,a0j8p000001zwcm,Paid,2022-09-23T11:32:44Z
Success,N264220004015997,a0j8p000001zz67,Paid,2022-09-23T11:32:44Z
Success,N264220004016277,a0j8p000001yWc1,Paid,2022-09-23T11:32:44Z
Success,N264220004015890,a0j8p000001zZIP,Paid,2022-09-23T11:32:44Z
Success,N264220004016218,a0j8p000001y2Jj,Paid,2022-09-23T11:32:44Z
Success,N264220004016201,a0j8p000001wyQO,Paid,2022-09-23T11:32:44Z
Success,N264220004015963,a0j8p000001zQ0T,Paid,2022-09-23T11:32:44Z
Success,N264220004016257,a0j8p000001zYyv,Paid,2022-09-23T11:32:44Z
