"ID","?CBS LOAN STATUS","ID","STATUS"
"0068p000003uepWAAQ","Disbursed","0068p000003uepWAAQ","Item Updated"
"0068p000003uBdRAAU","Disbursed","0068p000003uBdRAAU","Item Updated"
"0068p000003uQYaAAM","Disbursed","0068p000003uQYaAAM","Item Updated"
"0068p000003uOfgAAE","Disbursed","0068p000003uOfgAAE","Item Updated"
"0068p000003uSKDAA2","Disbursed","0068p000003uSKDAA2","Item Updated"
"0068p000003uSMtAAM","Disbursed","0068p000003uSMtAAM","Item Updated"
"0068p000003tb3nAAA","Disbursed","0068p000003tb3nAAA","Item Updated"
"0068p000003uDq1AAE","Disbursed","0068p000003uDq1AAE","Item Updated"
"0068p000003uWluAAE","Disbursed","0068p000003uWluAAE","Item Updated"
"0068p000003uWbvAAE","Disbursed","0068p000003uWbvAAE","Item Updated"
"0068p000003uD3QAAU","Disbursed","0068p000003uD3QAAU","Item Updated"
"0068p000003uX3QAAU","Disbursed","0068p000003uX3QAAU","Item Updated"
"0068p000003uX2dAAE","Disbursed","0068p000003uX2dAAE","Item Updated"
"0068p000003uX3pAAE","Disbursed","0068p000003uX3pAAE","Item Updated"
"0068p000003uWjtAAE","Disbursed","0068p000003uWjtAAE","Item Updated"
"0068p000003uX7cAAE","Disbursed","0068p000003uX7cAAE","Item Updated"
"0068p000003uWmEAAU","Disbursed","0068p000003uWmEAAU","Item Updated"
"0068p000003uWmdAAE","Disbursed","0068p000003uWmdAAE","Item Updated"
"0068p000003uIzaAAE","Disbursed","0068p000003uIzaAAE","Item Updated"
"0068p000003tdjTAAQ","Disbursed","0068p000003tdjTAAQ","Item Updated"
"0068p000003tdmtAAA","Disbursed","0068p000003tdmtAAA","Item Updated"
"0068p000003tdnDAAQ","Disbursed","0068p000003tdnDAAQ","Item Updated"
"0068p000003uCmTAAU","Disbursed","0068p000003uCmTAAU","Item Updated"
"0068p000003uBqTAAU","Disbursed","0068p000003uBqTAAU","Item Updated"
"0068p000003uBrCAAU","Disbursed","0068p000003uBrCAAU","Item Updated"
"0068p000003uXdrAAE","Disbursed","0068p000003uXdrAAE","Item Updated"
"0068p000003uXlrAAE","Disbursed","0068p000003uXlrAAE","Item Updated"
"0068p000003uXkmAAE","Disbursed","0068p000003uXkmAAE","Item Updated"
"0068p000003uD31AAE","Disbursed","0068p000003uD31AAE","Item Updated"
"0068p000003uU60AAE","Disbursed","0068p000003uU60AAE","Item Updated"
"0068p000003uBomAAE","Disbursed","0068p000003uBomAAE","Item Updated"
"0068p000003uBm6AAE","Disbursed","0068p000003uBm6AAE","Item Updated"
"0068p000003uZnHAAU","Disbursed","0068p000003uZnHAAU","Item Updated"
"0068p000003uCSJAA2","Disbursed","0068p000003uCSJAA2","Item Updated"
"0068p000003uCSnAAM","Disbursed","0068p000003uCSnAAM","Item Updated"
"0068p000003uCRgAAM","Disbursed","0068p000003uCRgAAM","Item Updated"
"0068p000003uCRpAAM","Disbursed","0068p000003uCRpAAM","Item Updated"
"0068p000003uCSOAA2","Disbursed","0068p000003uCSOAA2","Item Updated"
"0068p000003uZo5AAE","Disbursed","0068p000003uZo5AAE","Item Updated"
"0068p000003uZoUAAU","Disbursed","0068p000003uZoUAAU","Item Updated"
"0068p000003uZnlAAE","Disbursed","0068p000003uZnlAAE","Item Updated"
"0068p000003uZrIAAU","Disbursed","0068p000003uZrIAAU","Item Updated"
"0068p000003rOd2AAE","Disbursed","0068p000003rOd2AAE","Item Updated"
"0068p000003rOahAAE","Disbursed","0068p000003rOahAAE","Item Updated"
"0068p000003rOXsAAM","Disbursed","0068p000003rOXsAAM","Item Updated"
"0068p000003uCGrAAM","Disbursed","0068p000003uCGrAAM","Item Updated"
"0068p000003uC6dAAE","Disbursed","0068p000003uC6dAAE","Item Updated"
"0068p000003uNoBAAU","Disbursed","0068p000003uNoBAAU","Item Updated"
"0068p000003uCcxAAE","Disbursed","0068p000003uCcxAAE","Item Updated"
"0068p000003rOaIAAU","Disbursed","0068p000003rOaIAAU","Item Updated"
"0068p000003uRAtAAM","Disbursed","0068p000003uRAtAAM","Item Updated"
"0068p000003uLbCAAU","Disbursed","0068p000003uLbCAAU","Item Updated"
"0068p000003uXXGAA2","Disbursed","0068p000003uXXGAA2","Item Updated"
"0068p000003uXiWAAU","Disbursed","0068p000003uXiWAAU","Item Updated"
"0068p000003uZojAAE","Disbursed","0068p000003uZojAAE","Item Updated"
"0068p000003rN8VAAU","Disbursed","0068p000003rN8VAAU","Item Updated"
"0068p000003uCVwAAM","Disbursed","0068p000003uCVwAAM","Item Updated"
"0068p000003rOY7AAM","Disbursed","0068p000003rOY7AAM","Item Updated"
"0068p000003rOa8AAE","Disbursed","0068p000003rOa8AAE","Item Updated"
"0068p000003uIKVAA2","Disbursed","0068p000003uIKVAA2","Item Updated"
"0068p000003uILZAA2","Disbursed","0068p000003uILZAA2","Item Updated"
"0068p000003uR7VAAU","Disbursed","0068p000003uR7VAAU","Item Updated"
"0068p000003uP3CAAU","Disbursed","0068p000003uP3CAAU","Item Updated"
"0068p000003uQZsAAM","Disbursed","0068p000003uQZsAAM","Item Updated"
"0068p000003uI6AAAU","Disbursed","0068p000003uI6AAAU","Item Updated"
"0068p000003uP2dAAE","Disbursed","0068p000003uP2dAAE","Item Updated"
"0068p000003tb0eAAA","Disbursed","0068p000003tb0eAAA","Item Updated"
"0068p000003uIHMAA2","Disbursed","0068p000003uIHMAA2","Item Updated"
"0068p000003uBteAAE","Disbursed","0068p000003uBteAAE","Item Updated"
"0068p000003uQZiAAM","Disbursed","0068p000003uQZiAAM","Item Updated"
"0068p000003uSNhAAM","Disbursed","0068p000003uSNhAAM","Item Updated"
"0068p000003uNm0AAE","Disbursed","0068p000003uNm0AAE","Item Updated"
"0068p000003uJ1WAAU","Disbursed","0068p000003uJ1WAAU","Item Updated"
