ID,FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE,STATUS
a0j8p000001noKIAAY,Success,N253220003970093,a0j8p000001noKIAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nq4fAAA,Success,N253220003969927,a0j8p000001nq4fAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npT1AAI,Success,N253220003970004,a0j8p000001npT1AAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001noevAAA,Success,N253220003969827,a0j8p000001noevAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001np9JAAQ,Success,N253220003970066,a0j8p000001np9JAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001muycAAA,Success,N253220003970020,a0j8p000001muycAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lK0nAAE,Success,N253220003969724,a0j8p000001lK0nAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001m9HGAAY,Success,N253220003970116,a0j8p000001m9HGAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001msBTAAY,Success,N253220003969795,a0j8p000001msBTAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mqQCAAY,Success,N253220003969727,a0j8p000001mqQCAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nZCbAAM,Success,N253220003970039,a0j8p000001nZCbAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nZwcAAE,Success,N253220003970040,a0j8p000001nZwcAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nYe0AAE,Success,N253220003970038,a0j8p000001nYe0AAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mrg5AAA,Success,N253220003969818,a0j8p000001mrg5AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mu9CAAQ,Success,N253220003969905,a0j8p000001mu9CAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nTHqAAM,Success,N253220003970110,a0j8p000001nTHqAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nu5qAAA,Success,N253220003970014,a0j8p000001nu5qAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nyaOAAQ,Success,N253220003969734,a0j8p000001nyaOAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mxqwAAA,Success,N253220003970035,a0j8p000001mxqwAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mz4bAAA,Success,N253220003970085,a0j8p000001mz4bAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mxgOAAQ,Success,N253220003969984,a0j8p000001mxgOAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001ny3oAAA,Success,N253220003969933,a0j8p000001ny3oAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mxMSAAY,Success,N253220003970034,a0j8p000001mxMSAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001ntHmAAI,Success,N253220003969931,a0j8p000001ntHmAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n4SPAAY,Success,N253220003970132,a0j8p000001n4SPAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHNkAAM,Success,N253220003969860,a0j8p000001nHNkAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHbnAAE,Success,N253220003970131,a0j8p000001nHbnAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHS8AAM,Success,N253220003969778,a0j8p000001nHS8AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHVzAAM,Success,N253220003969779,a0j8p000001nHVzAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nnp2AAA,Success,N253220003969717,a0j8p000001nnp2AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001my41AAA,Success,N253220003969781,a0j8p000001my41AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nqNhAAI,Success,N253220003970138,a0j8p000001nqNhAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n1g4AAA,Success,N253220003969811,a0j8p000001n1g4AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001myEXAAY,Success,N253220003970111,a0j8p000001myEXAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nSqrAAE,Success,N253220003969772,a0j8p000001nSqrAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001my0nAAA,Success,N253220003969782,a0j8p000001my0nAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001my89AAA,Success,N253220003970068,a0j8p000001my89AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npg2AAA,Success,N253220003970012,a0j8p000001npg2AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npmaAAA,Success,N253220003969988,a0j8p000001npmaAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nvmRAAQ,Success,N253220003969802,a0j8p000001nvmRAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nwKgAAI,Success,N253220003969801,a0j8p000001nwKgAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nxaQAAQ,Success,N253220003970057,a0j8p000001nxaQAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lGZwAAM,Success,N253220003970045,a0j8p000001lGZwAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nnl6AAA,Success,N253220003969813,a0j8p000001nnl6AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nuOzAAI,Success,N253220003970009,a0j8p000001nuOzAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nTB0AAM,Success,N253220003969773,a0j8p000001nTB0AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001noqMAAQ,Success,N253220003969857,a0j8p000001noqMAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npVNAAY,Success,N253220003970006,a0j8p000001npVNAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lqF2AAI,Success,N253220003969806,a0j8p000001lqF2AAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lrIKAAY,Success,N253220003969885,a0j8p000001lrIKAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lpqqAAA,Success,N253220003970134,a0j8p000001lpqqAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lqqTAAQ,Success,N253220003969745,a0j8p000001lqqTAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nphpAAA,Success,N253220003970010,a0j8p000001nphpAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npdFAAQ,Success,N253220003970062,a0j8p000001npdFAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npbOAAQ,Success,N253220003970061,a0j8p000001npbOAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001ln3rAAA,Success,N253220003969805,a0j8p000001ln3rAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nGUVAA2,Success,N253220003969777,a0j8p000001nGUVAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001np8hAAA,Success,N253220003969784,a0j8p000001np8hAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHoWAAU,Success,N253220003969916,a0j8p000001nHoWAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nnn9AAA,Success,N253220003969868,a0j8p000001nnn9AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mQpkAAE,Success,N253220003969749,a0j8p000001mQpkAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001msSJAAY,Success,N253220003970119,a0j8p000001msSJAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mtXqAAI,Success,N253220003969726,a0j8p000001mtXqAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001muRYAAY,Success,N253220003970125,a0j8p000001muRYAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001o063AAA,Success,N253220003970114,a0j8p000001o063AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001kugDAAQ,Success,N253220003970021,a0j8p000001kugDAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mrZ3AAI,Success,N253220003969956,a0j8p000001mrZ3AAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001ms1RAAQ,Success,N253220003970118,a0j8p000001ms1RAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nq8DAAQ,Success,N253220003969926,a0j8p000001nq8DAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001msHXAAY,Success,N253220003969731,a0j8p000001msHXAAY,Paid,2022-09-12T06:35:28Z,Item Updated
