"ID","CBS LOAN STATUS","ID","STATUS"
"0068p000003tidEAAQ","Disbursed","0068p000003tidEAAQ","Item Updated"
"0068p000003tpW0AAI","Disbursed","0068p000003tpW0AAI","Item Updated"
"0068p000003tpRIAAY","Disbursed","0068p000003tpRIAAY","Item Updated"
"0068p000003tpKsAAI","Disbursed","0068p000003tpKsAAI","Item Updated"
"0068p000003tpL7AAI","Disbursed","0068p000003tpL7AAI","Item Updated"
"0068p000003tpFrAAI","Disbursed","0068p000003tpFrAAI","Item Updated"
"0068p000003tnyUAAQ","Disbursed","0068p000003tnyUAAQ","Item Updated"
"0068p000003to0PAAQ","Disbursed","0068p000003to0PAAQ","Item Updated"
"0068p000003to2fAAA","Disbursed","0068p000003to2fAAA","Item Updated"
"0068p000003to1nAAA","Disbursed","0068p000003to1nAAA","Item Updated"
"0068p000003toL4AAI","Disbursed","0068p000003toL4AAI","Item Updated"
"0068p000003toMjAAI","Disbursed","0068p000003toMjAAI","Item Updated"
"0068p000003toNWAAY","Disbursed","0068p000003toNWAAY","Item Updated"
"0068p000003toPmAAI","Disbursed","0068p000003toPmAAI","Item Updated"
"0068p000003toP8AAI","Disbursed","0068p000003toP8AAI","Item Updated"
"0068p000003todqAAA","Disbursed","0068p000003todqAAA","Item Updated"
"0068p000003tXXQAA2","Disbursed","0068p000003tXXQAA2","Item Updated"
"0068p000003tXYdAAM","Disbursed","0068p000003tXYdAAM","Item Updated"
"0068p000003tXYEAA2","Disbursed","0068p000003tXYEAA2","Item Updated"
"0068p000003tYMZAA2","Disbursed","0068p000003tYMZAA2","Item Updated"
"0068p000003tYPEAA2","Disbursed","0068p000003tYPEAA2","Item Updated"
"0068p000003tYQ4AAM","Disbursed","0068p000003tYQ4AAM","Item Updated"
"0068p000003tYPTAA2","Disbursed","0068p000003tYPTAA2","Item Updated"
"0068p000003tpNHAAY","Disbursed","0068p000003tpNHAAY","Item Updated"
"0068p000003tigbAAA","Disbursed","0068p000003tigbAAA","Item Updated"
"0068p000003tijhAAA","Disbursed","0068p000003tijhAAA","Item Updated"
"0068p000003tijwAAA","Disbursed","0068p000003tijwAAA","Item Updated"
"0068p000003tikfAAA","Disbursed","0068p000003tikfAAA","Item Updated"
"0068p000003tmuzAAA","Disbursed","0068p000003tmuzAAA","Item Updated"
"0068p000003tmuuAAA","Disbursed","0068p000003tmuuAAA","Item Updated"
"0068p000003tmySAAQ","Disbursed","0068p000003tmySAAQ","Item Updated"
"0068p000003tmxyAAA","Disbursed","0068p000003tmxyAAA","Item Updated"
"0068p000003tmycAAA","Disbursed","0068p000003tmycAAA","Item Updated"
"0068p000003tnNKAAY","Disbursed","0068p000003tnNKAAY","Item Updated"
"0068p000003tnPvAAI","Disbursed","0068p000003tnPvAAI","Item Updated"
"0068p000003tnPNAAY","Disbursed","0068p000003tnPNAAY","Item Updated"
"0068p000003tqOUAAY","Disbursed","0068p000003tqOUAAY","Item Updated"
"0068p000003tqOeAAI","Disbursed","0068p000003tqOeAAI","Item Updated"
"0068p000003tqQaAAI","Disbursed","0068p000003tqQaAAI","Item Updated"
"0068p000003tqjSAAQ","Disbursed","0068p000003tqjSAAQ","Item Updated"
"0068p000003tqk6AAA","Disbursed","0068p000003tqk6AAA","Item Updated"
"0068p000003tqmHAAQ","Disbursed","0068p000003tqmHAAQ","Item Updated"
"0068p000003tqmMAAQ","Disbursed","0068p000003tqmMAAQ","Item Updated"
"0068p000003tv66AAA","Disbursed","0068p000003tv66AAA","Item Updated"
"0068p000003t6pEAAQ","Disbursed","0068p000003t6pEAAQ","Item Updated"
"0068p000003t6p9AAA","Disbursed","0068p000003t6p9AAA","Item Updated"
"0068p000003t6r0AAA","Disbursed","0068p000003t6r0AAA","Item Updated"
"0068p000003t6rtAAA","Disbursed","0068p000003t6rtAAA","Item Updated"
"0068p000003t6rKAAQ","Disbursed","0068p000003t6rKAAQ","Item Updated"
"0068p000003tnRwAAI","Disbursed","0068p000003tnRwAAI","Item Updated"
"0068p000003tnSGAAY","Disbursed","0068p000003tnSGAAY","Item Updated"
"0068p000003tnXMAAY","Disbursed","0068p000003tnXMAAY","Item Updated"
"0068p000003tnY0AAI","Disbursed","0068p000003tnY0AAI","Item Updated"
"0068p000003tnXqAAI","Disbursed","0068p000003tnXqAAI","Item Updated"
"0068p000003tnaLAAQ","Disbursed","0068p000003tnaLAAQ","Item Updated"
"0068p000003tXZiAAM","Disbursed","0068p000003tXZiAAM","Item Updated"
"0068p000003tXZnAAM","Disbursed","0068p000003tXZnAAM","Item Updated"
"0068p000003tXfWAAU","Disbursed","0068p000003tXfWAAU","Item Updated"
"0068p000003tXfgAAE","Disbursed","0068p000003tXfgAAE","Item Updated"
"0068p000003tXiNAAU","Disbursed","0068p000003tXiNAAU","Item Updated"
"0068p000003tYOuAAM","Disbursed","0068p000003tYOuAAM","Item Updated"
"0068p000003tZVOAA2","Disbursed","0068p000003tZVOAA2","Item Updated"
"0068p000003tZViAAM","Disbursed","0068p000003tZViAAM","Item Updated"
"0068p000003tZVxAAM","Disbursed","0068p000003tZVxAAM","Item Updated"
"0068p000003tZhPAAU","Disbursed","0068p000003tZhPAAU","Item Updated"
"0068p000003teJdAAI","Disbursed","0068p000003teJdAAI","Item Updated"
"0068p000003teMwAAI","Disbursed","0068p000003teMwAAI","Item Updated"
"0068p000003teMmAAI","Disbursed","0068p000003teMmAAI","Item Updated"
"0068p000003sPpDAAU","Disbursed","0068p000003sPpDAAU","Item Updated"
"0068p000003sPp3AAE","Disbursed","0068p000003sPp3AAE","Item Updated"
"0068p000003sPr5AAE","Disbursed","0068p000003sPr5AAE","Item Updated"
"0068p000003sUQpAAM","Disbursed","0068p000003sUQpAAM","Item Updated"
"0068p000003ol0FAAQ","Disbursed","0068p000003ol0FAAQ","Item Updated"
"0068p000003ol3JAAQ","Disbursed","0068p000003ol3JAAQ","Item Updated"
"0068p000003ol3dAAA","Disbursed","0068p000003ol3dAAA","Item Updated"
"0068p000003tp1AAAQ","Disbursed","0068p000003tp1AAAQ","Item Updated"
"0068p000003tp4BAAQ","Disbursed","0068p000003tp4BAAQ","Item Updated"
"0068p000003tpYLAAY","Disbursed","0068p000003tpYLAAY","Item Updated"
"0068p000003tq6fAAA","Disbursed","0068p000003tq6fAAA","Item Updated"
"0068p000003tq6kAAA","Disbursed","0068p000003tq6kAAA","Item Updated"
"0068p000003tq6aAAA","Disbursed","0068p000003tq6aAAA","Item Updated"
"0068p000003tq6uAAA","Disbursed","0068p000003tq6uAAA","Item Updated"
"0068p000003tq74AAA","Disbursed","0068p000003tq74AAA","Item Updated"
"0068p000003tvMjAAI","Disbursed","0068p000003tvMjAAI","Item Updated"
"0068p000003t9XKAAY","Disbursed","0068p000003t9XKAAY","Item Updated"
"0068p000003ol42AAA","Disbursed","0068p000003ol42AAA","Item Updated"
"0068p000003ol3TAAQ","Disbursed","0068p000003ol3TAAQ","Item Updated"
"0068p000003tE2NAAU","Disbursed","0068p000003tE2NAAU","Item Updated"
"0068p000003tE2wAAE","Disbursed","0068p000003tE2wAAE","Item Updated"
"0068p000003tE52AAE","Disbursed","0068p000003tE52AAE","Item Updated"
"0068p000003tE6ZAAU","Disbursed","0068p000003tE6ZAAU","Item Updated"
"0068p000003tndoAAA","Disbursed","0068p000003tndoAAA","Item Updated"
"0068p000003tpooAAA","Disbursed","0068p000003tpooAAA","Item Updated"
"0068p000003tpo5AAA","Disbursed","0068p000003tpo5AAA","Item Updated"
"0068p000003tpo6AAA","Disbursed","0068p000003tpo6AAA","Item Updated"
"0068p000003tpp3AAA","Disbursed","0068p000003tpp3AAA","Item Updated"
"0068p000003tpxxAAA","Disbursed","0068p000003tpxxAAA","Item Updated"
"0068p000003tq11AAA","Disbursed","0068p000003tq11AAA","Item Updated"
"0068p000003tprPAAQ","Disbursed","0068p000003tprPAAQ","Item Updated"
"0068p000003tq2iAAA","Disbursed","0068p000003tq2iAAA","Item Updated"
"0068p000003tqaZAAQ","Disbursed","0068p000003tqaZAAQ","Item Updated"
"0068p000003tq9tAAA","Disbursed","0068p000003tq9tAAA","Item Updated"
"0068p000003tq8lAAA","Disbursed","0068p000003tq8lAAA","Item Updated"
"0068p000003tqArAAI","Disbursed","0068p000003tqArAAI","Item Updated"
"0068p000003tq9UAAQ","Disbursed","0068p000003tq9UAAQ","Item Updated"
"0068p000003tqD2AAI","Disbursed","0068p000003tqD2AAI","Item Updated"
"0068p000003tA32AAE","Disbursed","0068p000003tA32AAE","Item Updated"
"0068p000003tabrAAA","Disbursed","0068p000003tabrAAA","Item Updated"
"0068p000003taaKAAQ","Disbursed","0068p000003taaKAAQ","Item Updated"
"0068p000003tacBAAQ","Disbursed","0068p000003tacBAAQ","Item Updated"
"0068p000003tac1AAA","Disbursed","0068p000003tac1AAA","Item Updated"
"0068p000003tafoAAA","Disbursed","0068p000003tafoAAA","Item Updated"
"0068p000003talqAAA","Disbursed","0068p000003talqAAA","Item Updated"
"0068p000003taoTAAQ","Disbursed","0068p000003taoTAAQ","Item Updated"
"0068p000003tam5AAA","Disbursed","0068p000003tam5AAA","Item Updated"
"0068p000003taqeAAA","Disbursed","0068p000003taqeAAA","Item Updated"
"0068p000003tocTAAQ","Disbursed","0068p000003tocTAAQ","Item Updated"
"0068p000003tocdAAA","Disbursed","0068p000003tocdAAA","Item Updated"
"0068p000003ta8cAAA","Disbursed","0068p000003ta8cAAA","Item Updated"
"0068p000003ta8NAAQ","Disbursed","0068p000003ta8NAAQ","Item Updated"
"0068p000003ta48AAA","Disbursed","0068p000003ta48AAA","Item Updated"
"0068p000003toWoAAI","Disbursed","0068p000003toWoAAI","Item Updated"
"0068p000003toeZAAQ","Disbursed","0068p000003toeZAAQ","Item Updated"
"0068p000003tp0WAAQ","Disbursed","0068p000003tp0WAAQ","Item Updated"
"0068p000003tp0lAAA","Disbursed","0068p000003tp0lAAA","Item Updated"
"0068p000003tp10AAA","Disbursed","0068p000003tp10AAA","Item Updated"
"0068p000003tp3SAAQ","Disbursed","0068p000003tp3SAAQ","Item Updated"
"0068p000003tp3rAAA","Disbursed","0068p000003tp3rAAA","Item Updated"
"0068p000003tp7PAAQ","Disbursed","0068p000003tp7PAAQ","Item Updated"
"0068p000003tp9QAAQ","Disbursed","0068p000003tp9QAAQ","Item Updated"
"0068p000003tp8nAAA","Disbursed","0068p000003tp8nAAA","Item Updated"
"0068p000003tfm5AAA","Disbursed","0068p000003tfm5AAA","Item Updated"
"0068p000003tfmPAAQ","Disbursed","0068p000003tfmPAAQ","Item Updated"
"0068p000003tflvAAA","Disbursed","0068p000003tflvAAA","Item Updated"
"0068p000003thuZAAQ","Disbursed","0068p000003thuZAAQ","Item Updated"
"0068p000003thuoAAA","Disbursed","0068p000003thuoAAA","Item Updated"
"0068p000003ti2OAAQ","Disbursed","0068p000003ti2OAAQ","Item Updated"
"0068p000003ti2dAAA","Disbursed","0068p000003ti2dAAA","Item Updated"
"0068p000003ti4UAAQ","Disbursed","0068p000003ti4UAAQ","Item Updated"
"0068p000003ti53AAA","Disbursed","0068p000003ti53AAA","Item Updated"
"0068p000003tiIfAAI","Disbursed","0068p000003tiIfAAI","Item Updated"
"0068p000003tiMSAAY","Disbursed","0068p000003tiMSAAY","Item Updated"
"0068p000003tiMDAAY","Disbursed","0068p000003tiMDAAY","Item Updated"
"0068p000003tiM3AAI","Disbursed","0068p000003tiM3AAI","Item Updated"
"0068p000003trHvAAI","Disbursed","0068p000003trHvAAI","Item Updated"
"0068p000003trI0AAI","Disbursed","0068p000003trI0AAI","Item Updated"
"0068p000003tuzUAAQ","Disbursed","0068p000003tuzUAAQ","Item Updated"
"0068p000003tuzeAAA","Disbursed","0068p000003tuzeAAA","Item Updated"
"0068p000003tuztAAA","Disbursed","0068p000003tuztAAA","Item Updated"
"0068p000003tvRAAAY","Disbursed","0068p000003tvRAAAY","Item Updated"
"0068p000003tvRtAAI","Disbursed","0068p000003tvRtAAI","Item Updated"
"0068p000003tWF7AAM","Disbursed","0068p000003tWF7AAM","Item Updated"
"0068p000003tqmbAAA","Disbursed","0068p000003tqmbAAA","Item Updated"
"0068p000003tqmlAAA","Disbursed","0068p000003tqmlAAA","Item Updated"
"0068p000003tv0wAAA","Disbursed","0068p000003tv0wAAA","Item Updated"
"0068p000003tYkqAAE","Disbursed","0068p000003tYkqAAE","Item Updated"
"0068p000003tYoxAAE","Disbursed","0068p000003tYoxAAE","Item Updated"
"0068p000003taqyAAA","Disbursed","0068p000003taqyAAA","Item Updated"
"0068p000003tatxAAA","Disbursed","0068p000003tatxAAA","Item Updated"
"0068p000003tatYAAQ","Disbursed","0068p000003tatYAAQ","Item Updated"
"0068p000003tauvAAA","Disbursed","0068p000003tauvAAA","Item Updated"
"0068p000003tau7AAA","Disbursed","0068p000003tau7AAA","Item Updated"
"0068p000003tauRAAQ","Disbursed","0068p000003tauRAAQ","Item Updated"
"0068p000003taugAAA","Disbursed","0068p000003taugAAA","Item Updated"
"0068p000003tawrAAA","Disbursed","0068p000003tawrAAA","Item Updated"
"0068p000003tfWDAAY","Disbursed","0068p000003tfWDAAY","Item Updated"
"0068p000003tfWtAAI","Disbursed","0068p000003tfWtAAI","Item Updated"
"0068p000003tWzVAAU","Disbursed","0068p000003tWzVAAU","Item Updated"
"0068p000003tqAXAAY","Disbursed","0068p000003tqAXAAY","Item Updated"
"0068p000003tWPUAA2","Disbursed","0068p000003tWPUAA2","Item Updated"
"0068p000003tdyDAAQ","Disbursed","0068p000003tdyDAAQ","Item Updated"
"0068p000003tnoEAAQ","Disbursed","0068p000003tnoEAAQ","Item Updated"
"0068p000003tY3tAAE","Disbursed","0068p000003tY3tAAE","Item Updated"
"0068p000003tpKTAAY","Disbursed","0068p000003tpKTAAY","Item Updated"
"0068p000003tihKAAQ","Disbursed","0068p000003tihKAAQ","Item Updated"
"0068p000003tqJKAAY","Disbursed","0068p000003tqJKAAY","Item Updated"
"0068p000003tqIlAAI","Disbursed","0068p000003tqIlAAI","Item Updated"
"0068p000003tqV9AAI","Disbursed","0068p000003tqV9AAI","Item Updated"
"0068p000003tqVJAAY","Disbursed","0068p000003tqVJAAY","Item Updated"
"0068p000003tqViAAI","Disbursed","0068p000003tqViAAI","Item Updated"
"0068p000003sraLAAQ","Disbursed","0068p000003sraLAAQ","Item Updated"
"0068p000003sra6AAA","Disbursed","0068p000003sra6AAA","Item Updated"
"0068p000003srafAAA","Disbursed","0068p000003srafAAA","Item Updated"
"0068p000003srapAAA","Disbursed","0068p000003srapAAA","Item Updated"
"0068p000003sraCAAQ","Disbursed","0068p000003sraCAAQ","Item Updated"
"0068p000003srcgAAA","Disbursed","0068p000003srcgAAA","Item Updated"
"0068p000003srf0AAA","Disbursed","0068p000003srf0AAA","Item Updated"
"0068p000003srgDAAQ","Disbursed","0068p000003srgDAAQ","Item Updated"
"0068p000003srg8AAA","Disbursed","0068p000003srg8AAA","Item Updated"
"0068p000003srgNAAQ","Disbursed","0068p000003srgNAAQ","Item Updated"
"0068p000003srh6AAA","Disbursed","0068p000003srh6AAA","Item Updated"
"0068p000003t9x9AAA","Disbursed","0068p000003t9x9AAA","Item Updated"
"0068p000003t9z0AAA","Disbursed","0068p000003t9z0AAA","Item Updated"
"0068p000003t9xJAAQ","Disbursed","0068p000003t9xJAAQ","Item Updated"
"0068p000003t9xsAAA","Disbursed","0068p000003t9xsAAA","Item Updated"
"0068p000003tk5oAAA","Disbursed","0068p000003tk5oAAA","Item Updated"
"0068p000003tk6NAAQ","Disbursed","0068p000003tk6NAAQ","Item Updated"
"0068p000003tkKDAAY","Disbursed","0068p000003tkKDAAY","Item Updated"
"0068p000003tlMVAAY","Disbursed","0068p000003tlMVAAY","Item Updated"
"0068p000003tlMLAAY","Disbursed","0068p000003tlMLAAY","Item Updated"
"0068p000003tlMkAAI","Disbursed","0068p000003tlMkAAI","Item Updated"
"0068p000003tlOZAAY","Disbursed","0068p000003tlOZAAY","Item Updated"
"0068p000003tnoJAAQ","Disbursed","0068p000003tnoJAAQ","Item Updated"
"0068p000003tlxBAAQ","Disbursed","0068p000003tlxBAAQ","Item Updated"
"0068p000003tlxLAAQ","Disbursed","0068p000003tlxLAAQ","Item Updated"
"0068p000003tly4AAA","Disbursed","0068p000003tly4AAA","Item Updated"
"0068p000003top5AAA","Disbursed","0068p000003top5AAA","Item Updated"
"0068p000003toqWAAQ","Disbursed","0068p000003toqWAAQ","Item Updated"
"0068p000003t9JlAAI","Disbursed","0068p000003t9JlAAI","Item Updated"
"0068p000003t9MGAAY","Disbursed","0068p000003t9MGAAY","Item Updated"
"0068p000003t9N9AAI","Disbursed","0068p000003t9N9AAI","Item Updated"
"0068p000003t9MVAAY","Disbursed","0068p000003t9MVAAY","Item Updated"
"0068p000003t9MkAAI","Disbursed","0068p000003t9MkAAI","Item Updated"
"0068p000003tjZ9AAI","Disbursed","0068p000003tjZ9AAI","Item Updated"
"0068p000003tjdDAAQ","Disbursed","0068p000003tjdDAAQ","Item Updated"
"0068p000003tjcyAAA","Disbursed","0068p000003tjcyAAA","Item Updated"
"0068p000003tjdcAAA","Disbursed","0068p000003tjdcAAA","Item Updated"
"0068p000003tVXvAAM","Disbursed","0068p000003tVXvAAM","Item Updated"
"0068p000003tVajAAE","Disbursed","0068p000003tVajAAE","Item Updated"
"0068p000003tfYLAAY","Disbursed","0068p000003tfYLAAY","Item Updated"
"0068p000003tfYaAAI","Disbursed","0068p000003tfYaAAI","Item Updated"
"0068p000003tqcuAAA","Disbursed","0068p000003tqcuAAA","Item Updated"
"0068p000003tqcVAAQ","Disbursed","0068p000003tqcVAAQ","Item Updated"
"0068p000003tqckAAA","Disbursed","0068p000003tqckAAA","Item Updated"
"0068p000003tqnZAAQ","Disbursed","0068p000003tqnZAAQ","Item Updated"
"0068p000003tqnyAAA","Disbursed","0068p000003tqnyAAA","Item Updated"
"0068p000003tqnoAAA","Disbursed","0068p000003tqnoAAA","Item Updated"
"0068p000003tqo3AAA","Disbursed","0068p000003tqo3AAA","Item Updated"
"0068p000003tqoSAAQ","Disbursed","0068p000003tqoSAAQ","Item Updated"
"0068p000003tqpkAAA","Disbursed","0068p000003tqpkAAA","Item Updated"
"0068p000003tqq9AAA","Disbursed","0068p000003tqq9AAA","Item Updated"
"0068p000003tqqTAAQ","Disbursed","0068p000003tqqTAAQ","Item Updated"
"0068p000003tqqiAAA","Disbursed","0068p000003tqqiAAA","Item Updated"
"0068p000003tqrvAAA","Disbursed","0068p000003tqrvAAA","Item Updated"
"0068p000003tqs0AAA","Disbursed","0068p000003tqs0AAA","Item Updated"
"0068p000003trDtAAI","Disbursed","0068p000003trDtAAI","Item Updated"
"0068p000003trFuAAI","Disbursed","0068p000003trFuAAI","Item Updated"
"0068p000003tWEsAAM","Disbursed","0068p000003tWEsAAM","Item Updated"
"0068p000003tWFWAA2","Disbursed","0068p000003tWFWAA2","Item Updated"
"0068p000003tWKlAAM","Disbursed","0068p000003tWKlAAM","Item Updated"
"0068p000003tWKWAA2","Disbursed","0068p000003tWKWAA2","Item Updated"
"0068p000003tWKqAAM","Disbursed","0068p000003tWKqAAM","Item Updated"
"0068p000003tWO7AAM","Disbursed","0068p000003tWO7AAM","Item Updated"
"0068p000003tWSgAAM","Disbursed","0068p000003tWSgAAM","Item Updated"
"0068p000003tpPYAAY","Disbursed","0068p000003tpPYAAY","Item Updated"
"0068p000003tpPiAAI","Disbursed","0068p000003tpPiAAI","Item Updated"
