"ID","?CBS LOAN STATUS","ACTUAL DISBURSEMENT DATE","OPPORTUNITY STATUS","ID","APPLICATION STATUS","STATUS"
"0068p000003n880AAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003n880AAA","Disbursed","Item Updated"
"0068p000003n881AAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003n881AAA","Disbursed","Item Updated"
"0068p000003n86zAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003n86zAAA","Disbursed","Item Updated"
"0068p000003l8t1AAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003l8t1AAA","Disbursed","Item Updated"
"0068p000003lTO6AAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lTO6AAM","Disbursed","Item Updated"
"0068p000003lydJAAQ","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lydJAAQ","Disbursed","Item Updated"
"0068p000003jfVhAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003jfVhAAI","Disbursed","Item Updated"
"0068p000003iMmlAAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003iMmlAAE","Disbursed","Item Updated"
"0068p000003j3FMAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003j3FMAAY","Disbursed","Item Updated"
"0068p000003lYeDAAU","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lYeDAAU","Disbursed","Item Updated"
"0068p000003lYTjAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lYTjAAM","Disbursed","Item Updated"
"0068p000003n1rCAAQ","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003n1rCAAQ","Disbursed","Item Updated"
"0068p000003lTOAAA2","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lTOAAA2","Disbursed","Item Updated"
"0068p000003lyFeAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lyFeAAI","Disbursed","Item Updated"
"0068p000003j3IeAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003j3IeAAI","Disbursed","Item Updated"
"0068p000003j3FNAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003j3FNAAY","Disbursed","Item Updated"
"0068p000003mAKcAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mAKcAAM","Disbursed","Item Updated"
"0068p000003mO3lAAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mO3lAAE","Disbursed","Item Updated"
"0068p000003mAUxAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mAUxAAM","Disbursed","Item Updated"
"0068p000003jfVmAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003jfVmAAI","Disbursed","Item Updated"
"0068p000003jfLFAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003jfLFAAY","Disbursed","Item Updated"
"0068p000003lYcPAAU","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lYcPAAU","Disbursed","Item Updated"
"0068p000003lxDgAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lxDgAAI","Disbursed","Item Updated"
"0068p000003iOPiAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003iOPiAAM","Disbursed","Item Updated"
"0068p000003iORlAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003iORlAAM","Disbursed","Item Updated"
"0068p000003jfVOAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003jfVOAAY","Disbursed","Item Updated"
"0068p000003khpuAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003khpuAAA","Disbursed","Item Updated"
"0068p000003khpVAAQ","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003khpVAAQ","Disbursed","Item Updated"
"0068p000003iIQNAA2","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003iIQNAA2","Disbursed","Item Updated"
"0068p000003m25aAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003m25aAAA","Disbursed","Item Updated"
"0068p000003lGl5AAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lGl5AAE","Disbursed","Item Updated"
"0068p000003iOXiAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003iOXiAAM","Disbursed","Item Updated"
"0068p000003mCP9AAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mCP9AAM","Disbursed","Item Updated"
"0068p000003m7jsAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003m7jsAAA","Disbursed","Item Updated"
"0068p000003kfdqAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003kfdqAAA","Disbursed","Item Updated"
"0068p000003msEAAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003msEAAAY","Disbursed","Item Updated"
"0068p000003nNt5AAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003nNt5AAE","Disbursed","Item Updated"
"0068p000003l812AAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003l812AAA","Disbursed","Item Updated"
"0068p000003leN2AAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003leN2AAI","Disbursed","Item Updated"
"0068p000003nKd7AAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003nKd7AAE","Disbursed","Item Updated"
"0068p000003mtWaAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mtWaAAI","Disbursed","Item Updated"
"0068p000003mt1wAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mt1wAAA","Disbursed","Item Updated"
"0068p000003mu7sAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003mu7sAAA","Disbursed","Item Updated"
"0068p000003iIQOAA2","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003iIQOAA2","Disbursed","Item Updated"
"0068p000003kiIHAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003kiIHAAY","Disbursed","Item Updated"
"0068p000003khVLAAY","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003khVLAAY","Disbursed","Item Updated"
"0068p000003nM8FAAU","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003nM8FAAU","Disbursed","Item Updated"
"0068p000003lqaTAAQ","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lqaTAAQ","Disbursed","Item Updated"
"0068p000003nGWMAA2","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003nGWMAA2","Disbursed","Item Updated"
"0068p000003lHQYAA2","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lHQYAA2","Disbursed","Item Updated"
"0068p000003nOEmAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003nOEmAAM","Disbursed","Item Updated"
"0068p000003n81YAAQ","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003n81YAAQ","Disbursed","Item Updated"
"0068p000003nMknAAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003nMknAAE","Disbursed","Item Updated"
"0068p000003kwMwAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003kwMwAAI","Disbursed","Item Updated"
"0068p000003lQsqAAE","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lQsqAAE","Disbursed","Item Updated"
"0068p000003l7WpAAI","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003l7WpAAI","Disbursed","Item Updated"
"0068p000003kvk9AAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003kvk9AAA","Disbursed","Item Updated"
"0068p000003l0nuAAA","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003l0nuAAA","Disbursed","Item Updated"
"0068p000003lEFqAAM","Disbursed","2022-09-12T06:35:29Z","Disbursed","0068p000003lEFqAAM","Disbursed","Item Updated"
