"ID","?CBS LOAN STATUS","ID","STATUS"
"0068p000003oimlAAA","Disbursed","0068p000003oimlAAA","Item Updated"
"0068p000003oinzAAA","Disbursed","0068p000003oinzAAA","Item Updated"
"0068p000003oim2AAA","Disbursed","0068p000003oim2AAA","Item Updated"
"0068p000003oin5AAA","Disbursed","0068p000003oin5AAA","Item Updated"
"0068p000003oimRAAQ","Disbursed","0068p000003oimRAAQ","Item Updated"
"0068p000003pGNkAAM","Disbursed","0068p000003pGNkAAM","Item Updated"
"0068p000003oinaAAA","Disbursed","0068p000003oinaAAA","Item Updated"
"0068p000003o3IFAAY","Disbursed","0068p000003o3IFAAY","Item Updated"
"0068p000003o3IUAAY","Disbursed","0068p000003o3IUAAY","Item Updated"
"0068p000003oBTcAAM","Disbursed","0068p000003oBTcAAM","Item Updated"
"0068p000003o3BtAAI","Disbursed","0068p000003o3BtAAI","Item Updated"
"0068p000003pHD1AAM","Disbursed","0068p000003pHD1AAM","Item Updated"
"0068p000003olldAAA","Disbursed","0068p000003olldAAA","Item Updated"
"0068p000003pHakAAE","Disbursed","0068p000003pHakAAE","Item Updated"
"0068p000003p4RvAAI","Disbursed","0068p000003p4RvAAI","Item Updated"
"0068p000003p4STAAY","Disbursed","0068p000003p4STAAY","Item Updated"
"0068p000003p4m3AAA","Disbursed","0068p000003p4m3AAA","Item Updated"
"0068p000003n4BcAAI","Disbursed","0068p000003n4BcAAI","Item Updated"
"0068p000003n46qAAA","Disbursed","0068p000003n46qAAA","Item Updated"
"0068p000003p7ytAAA","Disbursed","0068p000003p7ytAAA","Item Updated"
"0068p000003p7xMAAQ","Disbursed","0068p000003p7xMAAQ","Item Updated"
"0068p000003oidGAAQ","Disbursed","0068p000003oidGAAQ","Item Updated"
"0068p000003pHAMAA2","Disbursed","0068p000003pHAMAA2","Item Updated"
"0068p000003pHAHAA2","Disbursed","0068p000003pHAHAA2","Item Updated"
"0068p000003pGtCAAU","Disbursed","0068p000003pGtCAAU","Item Updated"
"0068p000003p7yoAAA","Disbursed","0068p000003p7yoAAA","Item Updated"
"0068p000003olrIAAQ","Disbursed","0068p000003olrIAAQ","Item Updated"
"0068p000003olqyAAA","Disbursed","0068p000003olqyAAA","Item Updated"
"0068p000003oljCAAQ","Disbursed","0068p000003oljCAAQ","Item Updated"
