"ID","?CBS LOAN STATUS","ACTUAL DISBURSEMENT DATE","OPPORTUNITY STATUS","ID","APPLICATION STATUS","STATUS"
"0068p000003oW54AAE","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003oW54AAE","Disbursed","Item Updated"
"0068p000003p3goAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003p3goAAA","Disbursed","Item Updated"
"0068p000003ouyvAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003ouyvAAA","Disbursed","Item Updated"
"0068p000003m7qbAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003m7qbAAA","Disbursed","Item Updated"
"0068p000003pLFtAAM","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pLFtAAM","Disbursed","Item Updated"
"0068p000003q2XhAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003q2XhAAI","Disbursed","Item Updated"
"0068p000003ovCaAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003ovCaAAI","Disbursed","Item Updated"
"0068p000003q5KGAAY","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003q5KGAAY","Disbursed","Item Updated"
"0068p000003pAFkAAM","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pAFkAAM","Disbursed","Item Updated"
"0068p000003qpJuAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qpJuAAI","Disbursed","Item Updated"
"0068p000003kwAnAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003kwAnAAI","Disbursed","Item Updated"
"0068p000003p6BJAAY","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003p6BJAAY","Disbursed","Item Updated"
"0068p000003SWvCAAW","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003SWvCAAW","Disbursed","Item Updated"
"0068p000003huezAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003huezAAA","Disbursed","Item Updated"
"0068p000003hueyAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003hueyAAA","Disbursed","Item Updated"
"0068p000003q5OwAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003q5OwAAI","Disbursed","Item Updated"
"0068p000003q4PhAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003q4PhAAI","Disbursed","Item Updated"
"0068p000003pbGXAAY","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pbGXAAY","Disbursed","Item Updated"
"0068p000003qYS7AAM","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qYS7AAM","Disbursed","Item Updated"
"0068p000003qYS6AAM","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qYS6AAM","Disbursed","Item Updated"
"0068p000003qYSZAA2","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qYSZAA2","Disbursed","Item Updated"
"0068p000003q601AAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003q601AAA","Disbursed","Item Updated"
"0068p000003q4dZAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003q4dZAAQ","Disbursed","Item Updated"
"0068p000003pzLLAAY","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pzLLAAY","Disbursed","Item Updated"
"0068p000003qLuqAAE","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qLuqAAE","Disbursed","Item Updated"
"0068p000003pxu8AAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pxu8AAA","Disbursed","Item Updated"
"0068p000003sSHSAA2","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003sSHSAA2","Disbursed","Item Updated"
"0068p000003lQRbAAM","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003lQRbAAM","Disbursed","Item Updated"
"0068p000003paiUAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003paiUAAQ","Disbursed","Item Updated"
"0068p000003okHvAAI","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003okHvAAI","Disbursed","Item Updated"
"0068p000003oikRAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003oikRAAQ","Disbursed","Item Updated"
"0068p000003pJ4rAAE","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pJ4rAAE","Disbursed","Item Updated"
"0068p000003ovlbAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003ovlbAAA","Disbursed","Item Updated"
"0068p000003pE6aAAE","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pE6aAAE","Disbursed","Item Updated"
"0068p000003oikQAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003oikQAAQ","Disbursed","Item Updated"
"0068p000003ofPUAAY","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003ofPUAAY","Disbursed","Item Updated"
"0068p000003pzaEAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003pzaEAAQ","Disbursed","Item Updated"
"0068p000003qp7eAAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qp7eAAA","Disbursed","Item Updated"
"0068p000003qndXAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003qndXAAQ","Disbursed","Item Updated"
"0068p000003j0gZAAQ","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003j0gZAAQ","Disbursed","Item Updated"
"0068p000003hub3AAA","Disbursed","2022-09-20T01:47:59Z","Disbursed","0068p000003hub3AAA","Disbursed","Item Updated"
