"ID","?CBS LOAN STATUS","ACTUAL DISBURSEMENT DATE","OPPORTUNITY STATUS","ID","APPLICATION STATUS","STATUS"
"0068p000003m0cGAAQ","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003m0cGAAQ","Disbursed","Item Updated"
"0068p000003qnWIAAY","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003qnWIAAY","Disbursed","Item Updated"
"0068p000003m8FwAAI","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003m8FwAAI","Disbursed","Item Updated"
"0068p000003oDnqAAE","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003oDnqAAE","Disbursed","Item Updated"
"0068p000003qcgHAAQ","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003qcgHAAQ","Disbursed","Item Updated"
"0068p000003o4DWAAY","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003o4DWAAY","Disbursed","Item Updated"
"0068p000003mctyAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003mctyAAA","Disbursed","Item Updated"
"0068p000003pWS3AAM","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003pWS3AAM","Disbursed","Item Updated"
"0068p000003qovjAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003qovjAAA","Disbursed","Item Updated"
"0068p000003oA01AAE","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003oA01AAE","Disbursed","Item Updated"
"0068p000003mmluAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003mmluAAA","Disbursed","Item Updated"
"0068p000003o40kAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003o40kAAA","Disbursed","Item Updated"
"0068p000003pyjfAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003pyjfAAA","Disbursed","Item Updated"
"0068p000003ohXBAAY","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003ohXBAAY","Disbursed","Item Updated"
"0068p000003r3wmAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003r3wmAAA","Disbursed","Item Updated"
"0068p000003sqs0AAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003sqs0AAA","Disbursed","Item Updated"
"0068p000003om0rAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003om0rAAA","Disbursed","Item Updated"
"0068p000003om7sAAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003om7sAAA","Disbursed","Item Updated"
"0068p000003p6XOAAY","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003p6XOAAY","Disbursed","Item Updated"
"0068p000003pUQpAAM","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003pUQpAAM","Disbursed","Item Updated"
"0068p000003oBwfAAE","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003oBwfAAE","Disbursed","Item Updated"
"0068p000003lVPiAAM","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003lVPiAAM","Disbursed","Item Updated"
"0068p000003lbePAAQ","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003lbePAAQ","Disbursed","Item Updated"
"0068p000003m6KDAAY","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003m6KDAAY","Disbursed","Item Updated"
"0068p000003m6JLAAY","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003m6JLAAY","Disbursed","Item Updated"
"0068p000003pTSqAAM","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003pTSqAAM","Disbursed","Item Updated"
"0068p000003oBxeAAE","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003oBxeAAE","Disbursed","Item Updated"
"0068p000003pklZAAQ","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003pklZAAQ","Disbursed","Item Updated"
"0068p000003r2w9AAA","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003r2w9AAA","Disbursed","Item Updated"
"0068p000003srPkAAI","Disbursed","2022-09-21T12:44:29Z","Disbursed","0068p000003srPkAAI","Disbursed","Item Updated"
