"ID","?CBS LOAN STATUS","ACTUAL DISBURSEMENT DATE","OPPORTUNITY STATUS","ID","APPLICATION STATUS","STATUS"
"0068p000003qOwaAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qOwaAAE","Disbursed","Item Updated"
"0068p000003ssUJAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003ssUJAAY","Disbursed","Item Updated"
"0068p000003teKvAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003teKvAAI","Disbursed","Item Updated"
"0068p000003tYcKAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tYcKAAU","Disbursed","Item Updated"
"0068p000003o5mJAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5mJAAQ","Disbursed","Item Updated"
"0068p000003p7C8AAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p7C8AAI","Disbursed","Item Updated"
"0068p000003rJwgAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rJwgAAE","Disbursed","Item Updated"
"0068p000003p0uRAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p0uRAAQ","Disbursed","Item Updated"
"0068p000003rTbwAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rTbwAAE","Disbursed","Item Updated"
"0068p000003rThaAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rThaAAE","Disbursed","Item Updated"
"0068p000003m1pfAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003m1pfAAA","Disbursed","Item Updated"
"0068p000003sKZGAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sKZGAA2","Disbursed","Item Updated"
"0068p000003pgqyAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pgqyAAA","Disbursed","Item Updated"
"0068p000003tVUqAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tVUqAAM","Disbursed","Item Updated"
"0068p000003qkZaAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qkZaAAI","Disbursed","Item Updated"
"0068p000003rTfFAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rTfFAAU","Disbursed","Item Updated"
"0068p000003rhoQAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rhoQAAQ","Disbursed","Item Updated"
"0068p000003riQYAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003riQYAAY","Disbursed","Item Updated"
"0068p000003oW59AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oW59AAE","Disbursed","Item Updated"
"0068p000003s0ZxAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003s0ZxAAI","Disbursed","Item Updated"
"0068p000003qXiVAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qXiVAAU","Disbursed","Item Updated"
"0068p000003sD5zAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sD5zAAE","Disbursed","Item Updated"
"0068p000003nyjTAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003nyjTAAQ","Disbursed","Item Updated"
"0068p000003oDkZAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oDkZAAU","Disbursed","Item Updated"
"0068p000003tXQVAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tXQVAA2","Disbursed","Item Updated"
"0068p000003tXeEAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tXeEAAU","Disbursed","Item Updated"
"0068p000003tXVtAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tXVtAAM","Disbursed","Item Updated"
"0068p000003o9MYAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o9MYAAY","Disbursed","Item Updated"
"0068p000003o5mIAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5mIAAQ","Disbursed","Item Updated"
"0068p000003tHNOAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tHNOAA2","Disbursed","Item Updated"
"0068p000003nu6VAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003nu6VAAQ","Disbursed","Item Updated"
"0068p000003p4wXAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p4wXAAQ","Disbursed","Item Updated"
"0068p000003jd5zAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003jd5zAAA","Disbursed","Item Updated"
"0068p000003rsQgAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rsQgAAI","Disbursed","Item Updated"
"0068p000003rsReAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rsReAAI","Disbursed","Item Updated"
"0068p000003kP53AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003kP53AAE","Disbursed","Item Updated"
"0068p000003suB3AAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003suB3AAI","Disbursed","Item Updated"
"0068p000003t2NnAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003t2NnAAI","Disbursed","Item Updated"
"0068p000003svCwAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003svCwAAI","Disbursed","Item Updated"
"0068p000003tYwgAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tYwgAAE","Disbursed","Item Updated"
"0068p000003oBamAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oBamAAE","Disbursed","Item Updated"
"0068p000003plPLAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003plPLAAY","Disbursed","Item Updated"
"0068p000003plPRAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003plPRAAY","Disbursed","Item Updated"
"0068p000003lxB1AAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003lxB1AAI","Disbursed","Item Updated"
"0068p000003qdhsAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qdhsAAA","Disbursed","Item Updated"
"0068p000003mS5hAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mS5hAAE","Disbursed","Item Updated"
"0068p000003tFtcAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tFtcAAE","Disbursed","Item Updated"
"0068p000003mS5iAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mS5iAAE","Disbursed","Item Updated"
"0068p000003mp9fAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mp9fAAA","Disbursed","Item Updated"
"0068p000003tdGuAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tdGuAAI","Disbursed","Item Updated"
"0068p000003oTsSAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oTsSAAU","Disbursed","Item Updated"
"0068p000003oTsUAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oTsUAAU","Disbursed","Item Updated"
"0068p000003tZBFAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tZBFAA2","Disbursed","Item Updated"
"0068p000003kbASAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003kbASAAY","Disbursed","Item Updated"
"0068p000003stnwAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003stnwAAA","Disbursed","Item Updated"
"0068p000003o1RgAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o1RgAAI","Disbursed","Item Updated"
"0068p000003rf5FAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rf5FAAQ","Disbursed","Item Updated"
"0068p000003tZq2AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tZq2AAE","Disbursed","Item Updated"
"0068p000003kZPvAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003kZPvAAM","Disbursed","Item Updated"
"0068p000003pYKQAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pYKQAA2","Disbursed","Item Updated"
"0068p000003pbxcAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pbxcAAA","Disbursed","Item Updated"
"0068p000003jd5yAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003jd5yAAA","Disbursed","Item Updated"
"0068p000003pUtNAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pUtNAAU","Disbursed","Item Updated"
"0068p000003qcULAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qcULAAY","Disbursed","Item Updated"
"0068p000003pX0QAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pX0QAAU","Disbursed","Item Updated"
"0068p000003tVKMAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tVKMAA2","Disbursed","Item Updated"
"0068p000003tgmrAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tgmrAAA","Disbursed","Item Updated"
"0068p000003tVKNAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tVKNAA2","Disbursed","Item Updated"
"0068p000003tVNuAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tVNuAAM","Disbursed","Item Updated"
"0068p000003pshWAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pshWAAQ","Disbursed","Item Updated"
"0068p000003pyq7AAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pyq7AAA","Disbursed","Item Updated"
"0068p000003mv0SAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mv0SAAQ","Disbursed","Item Updated"
"0068p000003oT5vAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oT5vAAE","Disbursed","Item Updated"
"0068p000003t9PKAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003t9PKAAY","Disbursed","Item Updated"
"0068p000003r8YEAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r8YEAAY","Disbursed","Item Updated"
"0068p000003rhoBAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rhoBAAQ","Disbursed","Item Updated"
"0068p000003jUp2AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003jUp2AAE","Disbursed","Item Updated"
"0068p000003prAVAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003prAVAAY","Disbursed","Item Updated"
"0068p000003pLcUAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pLcUAAU","Disbursed","Item Updated"
"0068p000003rhoTAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rhoTAAQ","Disbursed","Item Updated"
"0068p000003oAilAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oAilAAE","Disbursed","Item Updated"
"0068p000003r6ltAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r6ltAAA","Disbursed","Item Updated"
"0068p000003stq2AAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003stq2AAA","Disbursed","Item Updated"
"0068p000003mrsNAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003mrsNAAQ","Disbursed","Item Updated"
"0068p000003stm5AAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003stm5AAA","Disbursed","Item Updated"
"0068p000003sJCQAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sJCQAA2","Disbursed","Item Updated"
"0068p000003sIY8AAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sIY8AAM","Disbursed","Item Updated"
"0068p000003pdXdAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pdXdAAI","Disbursed","Item Updated"
"0068p000003pdHtAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pdHtAAI","Disbursed","Item Updated"
"0068p000003pbriAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pbriAAA","Disbursed","Item Updated"
"0068p000003pb8iAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pb8iAAA","Disbursed","Item Updated"
"0068p000003qLulAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qLulAAE","Disbursed","Item Updated"
"0068p000003qa1fAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qa1fAAA","Disbursed","Item Updated"
"0068p000003oaJfAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oaJfAAI","Disbursed","Item Updated"
"0068p000003qIFfAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qIFfAAM","Disbursed","Item Updated"
"0068p000003kZtdAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003kZtdAAE","Disbursed","Item Updated"
"0068p000003rpwUAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rpwUAAQ","Disbursed","Item Updated"
"0068p000003qn3pAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qn3pAAA","Disbursed","Item Updated"
"0068p000003owRyAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003owRyAAI","Disbursed","Item Updated"
"0068p000003pMJWAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pMJWAA2","Disbursed","Item Updated"
"0068p000003r9uRAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r9uRAAQ","Disbursed","Item Updated"
"0068p000003pY8PAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pY8PAAU","Disbursed","Item Updated"
"0068p000003iFtEAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003iFtEAAU","Disbursed","Item Updated"
"0068p000003qKduAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qKduAAE","Disbursed","Item Updated"
"0068p000003o5zkAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5zkAAA","Disbursed","Item Updated"
"0068p000003oAO8AAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003oAO8AAM","Disbursed","Item Updated"
"0068p000003pYJrAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pYJrAAM","Disbursed","Item Updated"
"0068p000003pY8QAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pY8QAAU","Disbursed","Item Updated"
"0068p000003nzioAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003nzioAAA","Disbursed","Item Updated"
"0068p000003raKUAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003raKUAAY","Disbursed","Item Updated"
"0068p000003o2pfAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o2pfAAA","Disbursed","Item Updated"
"0068p000003n69lAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003n69lAAA","Disbursed","Item Updated"
"0068p000003qLDwAAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qLDwAAM","Disbursed","Item Updated"
"0068p000003n3LDAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003n3LDAAY","Disbursed","Item Updated"
"0068p000003o5FlAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5FlAAI","Disbursed","Item Updated"
